Marca temporal,¿Preferirías vivir de alquiler o compra?,¿Cuántos años tienes?,¿Cuál es tu género?,Selecciona los distritos dónde buscarías actualmente casa (se pueden marcar hasta 5 opciones):,¿En qué estado prefieres la vivienda? (puedes seleccionar varias opciones),¿Qué aspectos son para ti más importantes a la hora de buscar vivienda? (puedes marcar hasta 5 opciones),¿En qué planta te gustaría vivir?,¿Prefieres vivir solo o acompañado?,¿Cuántas habitaciones buscas?,¿Cuántos baños necesitas?,¿Cuánto dinero al mes estarías dispuesto a destinar (entre tú y las personas con las que vivirías para pagar la vivienda si decidieras convivir)?,"Si compraras una casa, ¿durante cuántos años estarías dispuesto a hipotecarte?",¿Cuántos m2 buscas?
9/01/2024 21:50:32,Compra,Entre 25 y 30,Masculino,"Centro, Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca",Nueva,Piscina,"Ático, Casa/Chalet",Con mi pareja,2,2,1000-1500 €/mes,Prefiero no decirlo,más de 120 m2
9/01/2024 21:50:43,Compra,Entre 25 y 30,Femenino,"Arganzuela, Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca","En buen estado, Nueva","Buen transporte público, Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Ático",Solo,"1, 2",1,800-1000 €/mes,entre 25 y 30,entre 50 m2 y 70 m2
9/01/2024 21:51:13,Compra,Entre 25 y 30,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca",En buen estado,"Buen transporte público, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Ático, Casa/Chalet",Con mi familia,3,2,1000-1500 €/mes,entre 30 y 35,más de 120 m2
9/01/2024 21:52:10,Compra,Entre 30 y 40,Femenino,Moncloa-Aravaca,"A reformar, Nueva","Piscina, Portero, Jardín","Bajo, Casa/Chalet",Con mi familia,4 o más,3 o más,1500-2000 €/mes,entre 25 y 30,más de 120 m2
9/01/2024 21:56:25,Compra,Más de 60,Femenino,Moncloa-Aravaca,Nueva,"Terraza, Ascensor, Garaje, Aire acondicionado, Exterior",Ático,Con mi familia,3,2,600-800 €/mes,menos de 20,entre 90 m2 y 120 m2
9/01/2024 21:59:00,Compra,Entre 50 y 60,Masculino,"Centro, Retiro, B.Salamanca, Tetuán, Chamberí, Latina","A reformar, En buen estado, Nueva","Buen transporte público, Terraza, Ascensor, Piscina, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Trastero, Vivienda accesible","Plantas intermedias, Ático, Casa/Chalet",Con mi familia,2,"2, 3 o más",800-1000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
9/01/2024 21:59:58,Compra,Entre 40 y 50,Masculino,Tetuán,A reformar,"Buen transporte público, Garaje, Armarios empotrados",Plantas intermedias,Con mi pareja,3,3 o más,1000-1500 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
9/01/2024 22:03:15,Compra,Entre 30 y 40,Femenino,"Chamberí, Moncloa-Aravaca","En buen estado, Nueva","Terraza, Ascensor, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados",Plantas intermedias,No lo tengo claro,2,2,800-1000 €/mes,menos de 20,entre 50 m2 y 70 m2
9/01/2024 22:05:08,Compra,Entre 30 y 40,Masculino,Moncloa-Aravaca,"En buen estado, Nueva","Buen transporte público, Terraza, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Bajo, Plantas intermedias, Ático, Casa/Chalet",Con mi familia,3,2,1000-1500 €/mes,entre 25 y 30,"entre 90 m2 y 120 m2, más de 120 m2"
9/01/2024 22:05:23,Compra,Entre 40 y 50,Masculino,"Centro, Retiro, B.Salamanca, Chamberí, Chamartín",A reformar,"Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Plantas intermedias,Con mi familia,3,2,1000-1500 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
9/01/2024 22:07:21,Compra,Más de 60,Femenino,"B.Salamanca, Moncloa-Aravaca, Hortaleza, Chamartín",Nueva,"Terraza, Ascensor, Piscina, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Trastero","Ático, Casa/Chalet",Con mi familia,3,2,1000-1500 €/mes,entre 25 y 30,más de 120 m2
9/01/2024 22:08:31,Compra,Entre 25 y 30,Masculino,"Arganzuela, Chamberí, Usera, Villaverde, Vicálvaro","En buen estado, Nueva","Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático, Casa/Chalet",No lo tengo claro,"1, 2",1,400-600 €/mes,entre 20 y 25,entre 50 m2 y 70 m2
9/01/2024 22:22:04,Compra,Entre 25 y 30,Masculino,,"En buen estado, Nueva","Terraza, Ascensor, Garaje, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Trastero","Plantas intermedias, Ático",Con mi familia,3,2,1000-1500 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
9/01/2024 22:22:11,Compra,Entre 25 y 30,Femenino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca","A reformar, En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático",Con mi pareja,3,2,800-1000 €/mes,menos de 20,entre 90 m2 y 120 m2
9/01/2024 22:22:52,Compra,Prefiero no decirlo,Femenino,"Retiro, B.Salamanca, Chamartín",En buen estado,"Terraza, Ascensor, Piscina, Garaje, Aire acondicionado",Ático,No lo tengo claro,3,2,1500-2000 €/mes,menos de 20,más de 120 m2
9/01/2024 22:23:35,Compra,Entre 25 y 30,Femenino,Otro,Nueva,"Terraza, Ascensor, Garaje, Aire acondicionado, Trastero","Plantas intermedias, Ático, Casa/Chalet",Con mi pareja,3,2,600-800 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
9/01/2024 22:32:37,Compra,Entre 25 y 30,Masculino,"Centro, Chamartín",En buen estado,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Bajo, Plantas intermedias, Ático, Casa/Chalet",Con mi pareja,3,2,800-1000 €/mes,entre 20 y 25,"entre 90 m2 y 120 m2, más de 120 m2"
9/01/2024 22:45:04,Compra,Entre 30 y 40,Masculino,"Moncloa-Aravaca, Otro",En buen estado,"Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Vivienda accesible",Bajo,Con mi familia,2,2,1000-1500 €/mes,entre 25 y 30,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
9/01/2024 22:51:46,Compra,Menos de 25,Femenino,"Retiro, Latina, Carabanchel, Moratalaz, Otro","A reformar, En buen estado, Nueva","Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Jardín","Bajo, Ático, Casa/Chalet",Con mi pareja,"2, 3, 4 o más","1, 2",800-1000 €/mes,entre 25 y 30,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2, más de 120 m2"
9/01/2024 22:58:22,Compra,Menos de 25,Femenino,"Retiro, Chamberí, Puente de Vallecas, Moratalaz, Otro","A reformar, Nueva","Buen transporte público, Ascensor, Piscina, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Ático",Con mi pareja,"3, 4 o más",2,800-1000 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
9/01/2024 23:05:05,Compra,Entre 50 y 60,Femenino,"Arganzuela, Retiro, B.Salamanca, Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca, Latina, Chamartín","A reformar, Nueva","Buen transporte público, Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Ático,Con mi pareja,2,2,1000-1500 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
9/01/2024 23:10:14,Compra,Entre 30 y 40,Masculino,"Centro, B.Salamanca, Chamberí, Moncloa-Aravaca","En buen estado, Nueva","Terraza, Ascensor, Piscina, Garaje, Aire acondicionado","Ático, Casa/Chalet",Con mi pareja,"3, 4 o más",2,600-800 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
9/01/2024 23:15:24,Compra,Entre 30 y 40,Femenino,"Centro, Retiro, Moncloa-Aravaca, Latina","En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado",Plantas intermedias,Con mi familia,4 o más,2,800-1000 €/mes,entre 25 y 30,más de 120 m2
9/01/2024 23:17:41,Alquiler,Menos de 25,Femenino,"Chamberí, Latina",En buen estado,"Buen transporte público, Terraza, Ascensor, Garaje",Plantas intermedias,Con mi pareja,2,1,600-800 €/mes,entre 25 y 30,"<50 m2, entre 50 m2 y 70 m2"
9/01/2024 23:19:53,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Tetuán, Chamberí, Chamartín","A reformar, En buen estado, Nueva","Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados","Plantas intermedias, Casa/Chalet",Con mi pareja,2,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
9/01/2024 23:26:18,Alquiler,Menos de 25,Femenino,"Centro, Moncloa-Aravaca, Latina, Carabanchel, Otro",En buen estado,"Buen transporte público, Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado",,Con compañeros de piso,3,2,400-600 €/mes,entre 20 y 25,
9/01/2024 23:38:12,Compra,Entre 25 y 30,Masculino,"Centro, Hortaleza, Chamartín","En buen estado, Nueva","Ascensor, Garaje, Portero, Exterior, Trastero","Plantas intermedias, Ático, Casa/Chalet",Con mi familia,"3, 4 o más","2, 3 o más",1000-1500 €/mes,entre 25 y 30,"entre 90 m2 y 120 m2, más de 120 m2"
9/01/2024 23:44:06,Alquiler,Entre 30 y 40,Femenino,"Carabanchel, Puente de Vallecas, Otro",En buen estado,"Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Jardín",Bajo,Solo,2,1,400-600 €/mes,menos de 20,"<50 m2, entre 50 m2 y 70 m2"
9/01/2024 23:44:55,Compra,Entre 30 y 40,Femenino,"Moncloa-Aravaca, Otro","A reformar, Nueva","Terraza, Exterior, Jardín","Bajo, Casa/Chalet",Solo,3,"2, 3 o más",600-800 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
9/01/2024 23:59:02,Compra,Entre 25 y 30,Masculino,Latina,En buen estado,"Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Ático,Con mi pareja,2,1,400-600 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
10/01/2024 0:03:36,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca","A reformar, En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Jardín","Ático, Casa/Chalet",Con mi pareja,"3, 4 o más","2, 3 o más",No lo tengo claro,No lo tengo claro,"entre 90 m2 y 120 m2, más de 120 m2"
10/01/2024 0:06:55,Compra,Menos de 25,Femenino,"Centro, Retiro, B.Salamanca, Moncloa-Aravaca, Latina",Nueva,"Buen transporte público, Ascensor, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado",Casa/Chalet,Con mi pareja,3,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 0:25:33,Compra,Menos de 25,Masculino,"Centro, Arganzuela, Chamberí, Moncloa-Aravaca, Carabanchel",En buen estado,"Buen transporte público, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Ático, Casa/Chalet",No lo tengo claro,"2, 3","1, 2",No lo tengo claro,No lo tengo claro,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2, más de 120 m2"
10/01/2024 1:04:23,Compra,Entre 25 y 30,Femenino,"Chamberí, Moncloa-Aravaca",Nueva,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Ático, Casa/Chalet",Con mi pareja,3,2,800-1000 €/mes,menos de 20,"entre 90 m2 y 120 m2, más de 120 m2"
10/01/2024 1:16:46,Compra,Entre 25 y 30,Femenino,"B.Salamanca, Chamberí, Moncloa-Aravaca, Ciudad Lineal, Hortaleza","En buen estado, Nueva","Terraza, Ascensor, Piscina, Exterior, Jardín","Plantas intermedias, Ático, Casa/Chalet",Con mi pareja,2,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 4:27:45,,,,,,,,,,,,,
10/01/2024 6:53:58,Alquiler,Entre 30 y 40,Femenino,Centro,En buen estado,"Terraza, Ascensor, Piscina, Exterior, Armarios empotrados",Plantas intermedias,Con mi pareja,2,2,800-1000 €/mes,Prefiero no decirlo,entre 70 m2 y 90 m2
10/01/2024 7:21:38,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Moncloa-Aravaca, Hortaleza, Otro",Nueva,"Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Armarios empotrados",Ático,Solo,1,1,400-600 €/mes,No lo tengo claro,entre 50 m2 y 70 m2
10/01/2024 7:21:45,Compra,Entre 40 y 50,Femenino,"Fuencarral-El Pardo, Ciudad Lineal",Nueva,"Buen transporte público, Terraza, Ascensor, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Ático, Casa/Chalet",Con mi familia,4 o más,3 o más,No lo tengo claro,Prefiero no decirlo,más de 120 m2
10/01/2024 7:56:15,Compra,Entre 30 y 40,Femenino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca, Otro","A reformar, Nueva","Buen transporte público, Piscina, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados",Casa/Chalet,Con mi familia,4 o más,2,1500-2000 €/mes,entre 25 y 30,más de 120 m2
10/01/2024 8:01:05,No lo tengo claro,Entre 25 y 30,Femenino,"Ciudad Lineal, Hortaleza, Chamartín",En buen estado,"Terraza, Piscina, Exterior",Plantas intermedias,Con mi pareja,3,2,1000-1500 €/mes,entre 25 y 30,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
10/01/2024 8:10:47,Compra,Más de 60,Femenino,Otro,En buen estado,"Buen transporte público, Piscina, Garaje, Aire acondicionado, Jardín",Casa/Chalet,Con mi familia,4 o más,3 o más,> 2000€/mes,menos de 20,más de 120 m2
10/01/2024 8:13:45,Compra,Entre 40 y 50,Femenino,Otro,A reformar,"Terraza, Ascensor, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados, Jardín",Casa/Chalet,Con mi familia,3,3 o más,800-1000 €/mes,entre 20 y 25,más de 120 m2
10/01/2024 8:13:45,Compra,Más de 60,Femenino,"Retiro, B.Salamanca, Moncloa-Aravaca",En buen estado,"Buen transporte público, Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados","Plantas intermedias, Casa/Chalet",Con mi familia,4 o más,2,No lo tengo claro,menos de 20,más de 120 m2
10/01/2024 8:17:37,Compra,Entre 25 y 30,Masculino,"Centro, Moncloa-Aravaca, Otro",Nueva,"Buen transporte público, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Vivienda accesible",Casa/Chalet,Con mi familia,2,2,800-1000 €/mes,entre 25 y 30,entre 70 m2 y 90 m2
10/01/2024 8:18:34,Compra,Entre 40 y 50,Femenino,Otro,En buen estado,"Piscina, Garaje, Jardín","Bajo, Casa/Chalet",Con mi familia,3,3 o más,1500-2000 €/mes,entre 20 y 25,"entre 90 m2 y 120 m2, más de 120 m2"
10/01/2024 8:23:41,Compra,Entre 25 y 30,Femenino,"Retiro, Latina, Otro","En buen estado, Nueva","Buen transporte público, Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Con mi pareja,3,1,800-1000 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
10/01/2024 8:23:46,Compra,Entre 50 y 60,Femenino,Otro,En buen estado,"Terraza, Ascensor, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Vivienda accesible",Casa/Chalet,Con mi familia,4 o más,3 o más,No lo tengo claro,menos de 20,más de 120 m2
10/01/2024 8:32:37,Compra,Entre 25 y 30,Femenino,Hortaleza,En buen estado,"Buen transporte público, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados, Vivienda accesible","Plantas intermedias, Ático, Casa/Chalet",Solo,2,1,600-800 €/mes,entre 20 y 25,"entre 50 m2 y 70 m2, entre 70 m2 y 90 m2"
10/01/2024 8:49:16,Compra,Entre 25 y 30,Femenino,Hortaleza,"En buen estado, Nueva","Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Vivienda accesible","Plantas intermedias, Ático",Con amigos,2,1,400-600 €/mes,menos de 20,entre 70 m2 y 90 m2
10/01/2024 8:51:28,Compra,Menos de 25,Femenino,"Carabanchel, Usera, Villaverde","A reformar, En buen estado","Buen transporte público, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Jardín","Bajo, Plantas intermedias, Ático",No lo tengo claro,2,"1, 2",800-1000 €/mes,entre 25 y 30,entre 50 m2 y 70 m2
10/01/2024 8:53:03,Compra,Entre 25 y 30,Femenino,"Centro, Retiro, B.Salamanca, Moncloa-Aravaca, Otro","En buen estado, Nueva","Terraza, Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Plantas intermedias,Con mi pareja,3,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 9:00:10,Compra,Entre 30 y 40,Masculino,Centro,A reformar,"Ascensor, Garaje, Exterior, Armarios empotrados",Plantas intermedias,Con amigos,"2, 3",1,800-1000 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
10/01/2024 9:35:57,Compra,Entre 50 y 60,Femenino,"B.Salamanca, Ciudad Lineal, Otro",En buen estado,"Buen transporte público, Terraza, Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Armarios empotrados, Trastero, Vivienda accesible","Plantas intermedias, Casa/Chalet",Con mi pareja,2,2,1000-1500 €/mes,menos de 20,entre 90 m2 y 120 m2
10/01/2024 10:23:01,Compra,Entre 25 y 30,Masculino,Otro,En buen estado,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados",Casa/Chalet,Con mi pareja,1,1,800-1000 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
10/01/2024 11:19:18,Compra,Entre 50 y 60,Femenino,"B.Salamanca, Fuencarral-El Pardo",En buen estado,"Buen transporte público, Ascensor, Piscina, Garaje, Aire acondicionado, Exterior, Jardín",Casa/Chalet,Con mi familia,4 o más,3 o más,1000-1500 €/mes,entre 20 y 25,más de 120 m2
10/01/2024 11:25:42,Compra,Entre 25 y 30,Femenino,"Retiro, B.Salamanca, Chamberí","En buen estado, Nueva","Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático",Con mi familia,"3, 4 o más",3 o más,1500-2000 €/mes,entre 30 y 35,más de 120 m2
10/01/2024 12:07:29,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca","A reformar, En buen estado, Nueva","Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Trastero",Casa/Chalet,Con mi pareja,2,2,800-1000 €/mes,entre 20 y 25,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
10/01/2024 12:21:02,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca",Nueva,"Buen transporte público, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior",Plantas intermedias,Con mi familia,3,2,1500-2000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 12:47:18,Compra,Entre 40 y 50,Femenino,Otro,"En buen estado, Nueva","Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados, Jardín","Bajo, Ático, Casa/Chalet",Solo,"2, 3",2,400-600 €/mes,entre 25 y 30,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
10/01/2024 12:49:54,Compra,Menos de 25,Masculino,"Tetuán, Carabanchel, Villa de Vallecas",A reformar,"Buen transporte público, Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático, Casa/Chalet",Con mi pareja,"2, 3",2,No lo tengo claro,entre 25 y 30,entre 70 m2 y 90 m2
10/01/2024 12:57:22,Compra,Entre 30 y 40,Masculino,"Chamberí, Latina, Carabanchel, Moratalaz, Barajas",A reformar,"Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Con mi pareja,2,1,800-1000 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
10/01/2024 13:28:20,Compra,Entre 30 y 40,Masculino,"Tetuán, Chamberí, Moratalaz","A reformar, En buen estado","Buen transporte público, Terraza, Ascensor","Plantas intermedias, Ático",Solo,2,1,600-800 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
10/01/2024 13:41:48,Compra,Entre 30 y 40,Masculino,"Centro, Arganzuela, Latina","A reformar, En buen estado, Nueva","Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Ático, Casa/Chalet",Con mi pareja,2,1,800-1000 €/mes,entre 25 y 30,"entre 90 m2 y 120 m2, más de 120 m2"
10/01/2024 14:45:35,Compra,Entre 25 y 30,Masculino,"Centro, Retiro, Chamberí, Latina, Chamartín",En buen estado,"Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado",Plantas intermedias,Con mi pareja,2,1,1000-1500 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
10/01/2024 14:58:09,Compra,Entre 40 y 50,Femenino,"Chamberí, Moncloa-Aravaca",En buen estado,"Terraza, Ascensor, Piscina, Portero, Exterior",Plantas intermedias,Con mi familia,3,2,800-1000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 15:22:00,Compra,Más de 60,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca",Nueva,Exterior,"Plantas intermedias, Casa/Chalet",Con mi familia,3,2,No lo tengo claro,No lo tengo claro,más de 120 m2
10/01/2024 17:44:06,Compra,Entre 25 y 30,Femenino,"Centro, Villaverde, Villa de Vallecas, San Blás-Canillejas","En buen estado, Nueva","Buen transporte público, Terraza, Piscina, Garaje, Aire acondicionado",Plantas intermedias,Con mi pareja,3,1,1500-2000 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
10/01/2024 17:46:31,Compra,Entre 50 y 60,Femenino,"Retiro, B.Salamanca",Nueva,"Buen transporte público, Terraza, Ascensor, Piscina, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Trastero",Plantas intermedias,Con mi familia,2,2,1000-1500 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
